file,真实标签,缺陷类型(MVTec原始)
t000.png,正常,
t001.png,缺陷,print
t002.png,正常,
t003.png,正常,
t004.png,缺陷,hole
t005.png,正常,
t006.png,缺陷,print
t007.png,缺陷,crack
t008.png,正常,
t009.png,正常,
t010.png,正常,
t011.png,缺陷,cut
t012.png,正常,
t013.png,正常,
t014.png,缺陷,hole
t015.png,缺陷,print
t016.png,缺陷,crack
t017.png,缺陷,hole
t018.png,缺陷,cut
t019.png,正常,
t020.png,缺陷,hole
t021.png,缺陷,hole
t022.png,正常,
t023.png,缺陷,cut
t024.png,缺陷,cut
t025.png,缺陷,cut
t026.png,缺陷,cut
t027.png,正常,
t028.png,正常,
t029.png,缺陷,print
t030.png,正常,
t031.png,缺陷,hole
t032.png,缺陷,hole
t033.png,缺陷,print
t034.png,正常,
t035.png,正常,
t036.png,正常,
t037.png,正常,
t038.png,正常,
t039.png,正常,
