file,真实标签,缺陷类型(MVTec原始)
t000.png,缺陷,cut_inner_insulation
t001.png,缺陷,cable_swap
t002.png,正常,
t003.png,缺陷,bent_wire
t004.png,缺陷,missing_cable
t005.png,缺陷,cut_inner_insulation
t006.png,缺陷,missing_wire
t007.png,缺陷,cut_inner_insulation
t008.png,正常,
t009.png,缺陷,missing_wire
t010.png,正常,
t011.png,正常,
t012.png,缺陷,cut_inner_insulation
t013.png,正常,
t014.png,缺陷,combined
t015.png,正常,
t016.png,缺陷,cable_swap
t017.png,正常,
t018.png,正常,
t019.png,正常,
t020.png,正常,
t021.png,正常,
t022.png,正常,
t023.png,正常,
t024.png,缺陷,cut_outer_insulation
t025.png,正常,
t026.png,正常,
t027.png,缺陷,bent_wire
t028.png,缺陷,missing_cable
t029.png,缺陷,cut_outer_insulation
t030.png,正常,
t031.png,正常,
t032.png,正常,
t033.png,缺陷,combined
t034.png,正常,
t035.png,缺陷,cable_swap
t036.png,缺陷,cut_outer_insulation
t037.png,缺陷,combined
t038.png,缺陷,missing_cable
t039.png,正常,
