file,真实标签,缺陷类型(MVTec原始)
t000.png,正常,
t001.png,正常,
t002.png,正常,
t003.png,正常,
t004.png,正常,
t005.png,缺陷,thread
t006.png,正常,
t007.png,正常,
t008.png,正常,
t009.png,正常,
t010.png,缺陷,thread
t011.png,正常,
t012.png,正常,
t013.png,正常,
t014.png,正常,
t015.png,缺陷,thread
t016.png,缺陷,thread
t017.png,缺陷,hole
t018.png,缺陷,hole
t019.png,缺陷,metal_contamination
t020.png,缺陷,cut
t021.png,缺陷,hole
t022.png,正常,
t023.png,正常,
t024.png,缺陷,thread
t025.png,缺陷,hole
t026.png,正常,
t027.png,缺陷,hole
t028.png,缺陷,color
t029.png,正常,
t030.png,缺陷,color
t031.png,缺陷,metal_contamination
t032.png,缺陷,hole
t033.png,正常,
t034.png,缺陷,cut
t035.png,缺陷,thread
t036.png,正常,
t037.png,正常,
t038.png,缺陷,hole
t039.png,缺陷,hole
