file,真实标签,缺陷类型(MVTec原始)
t000.png,正常,
t001.png,正常,
t002.png,正常,
t003.png,缺陷,scratch
t004.png,缺陷,flip
t005.png,缺陷,color
t006.png,正常,
t007.png,缺陷,bent
t008.png,缺陷,color
t009.png,缺陷,color
t010.png,正常,
t011.png,缺陷,flip
t012.png,正常,
t013.png,正常,
t014.png,正常,
t015.png,正常,
t016.png,正常,
t017.png,缺陷,flip
t018.png,缺陷,bent
t019.png,缺陷,flip
t020.png,缺陷,color
t021.png,正常,
t022.png,缺陷,color
t023.png,缺陷,flip
t024.png,缺陷,color
t025.png,缺陷,color
t026.png,缺陷,flip
t027.png,缺陷,color
t028.png,缺陷,bent
t029.png,缺陷,bent
t030.png,正常,
t031.png,正常,
t032.png,正常,
t033.png,正常,
t034.png,正常,
t035.png,缺陷,bent
t036.png,正常,
t037.png,正常,
t038.png,正常,
t039.png,正常,
